Date,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,sur_refl_raz,sur_refl_qc_500m,sur_refl_day_of_year,sur_refl_vzen,sur_refl_state_500m,sur_refl_szen,real_date
2010/10/24,792,2068,346,555,3126,2681,1520,11239,1073741824,303,2200,72,5234,2010/10/30
2010/11/01,1064,2352,560,823,3132,2899,1643,-2809,1073741824,305,106,136,5352,2010/11/01
2010/11/09,1052,2296,423,692,3222,3099,1683,-6427,1073741824,314,1260,72,5649,2010/11/10
2010/11/17,1185,2829,464,831,3689,3451,1840,-6262,1073741824,325,4145,72,6039,2010/11/21
2010/11/25,1001,2155,389,697,3356,3055,1908,-6231,1073741824,330,1261,72,6033,2010/11/26
2010/12/03,977,2341,450,648,3068,2665,1329,11365,1073741824,342,3170,72,6115,2010/12/08
2010/12/11,1102,2146,397,720,3175,3194,1760,-6249,1073741824,346,1269,72,6271,2010/12/12
2010/12/19,1100,2086,434,731,3287,2939,1748,-4766,1073741824,353,98,72,6287,2010/12/19
2010/12/27,1117,2085,569,790,3137,2661,1737,11594,1073741824,2,2172,72,6208,2010/01/02
2011/01/01,1169,2206,447,757,3397,2957,1727,-4899,1073741824,4,124,72,6263,2011/01/04
2011/01/09,1147,2239,548,764,3315,3333,1840,11634,1073741824,9,3143,136,6113,2011/01/09
2011/01/17,1480,2531,716,1061,2589,690,255,-5574,1073741824,20,157,74,6054,2011/01/20
2011/01/25,1114,2065,495,786,3310,3188,2090,12040,1073741824,27,1044,72,5863,2011/01/27
2011/02/02,1385,2506,607,991,3919,3566,2459,-5367,1073741824,38,2391,72,5719,2011/02/07
2011/02/10,1560,2792,642,1072,4120,3813,2355,-5227,1073741824,47,3346,74,5500,2011/02/16
2011/02/18,1216,2207,528,881,3293,3469,2161,-4102,1073741824,52,115,72,5164,2011/02/21
2011/02/26,1131,2080,475,808,3355,3206,2108,12432,1073741824,59,1080,72,4859,2011/02/28
2011/03/06,1167,2069,531,852,3318,3113,1915,-6287,1073741824,68,104,72,4568,2011/03/09
2011/03/14,1371,2457,643,1027,3502,3693,2110,-4809,1073741824,79,3346,72,4326,2011/03/20
2011/03/22,1112,2008,511,809,3195,3189,2052,12463,1073741824,82,2183,72,3910,2011/03/23
2011/03/30,1079,1994,480,820,3217,3236,2158,12868,1073741824,91,1053,72,3611,2011/04/01
2011/04/07,1301,2474,586,1007,3741,3755,2398,-4426,1073741824,102,2390,72,3395,2011/04/12
2011/04/15,1295,2688,632,1030,6385,3863,2443,-3831,1075576832,106,5430,72,3580,2011/04/16
2011/04/23,1156,2389,575,966,-2,3525,2123,-3993,1075576833,118,2372,72,2880,2011/04/28
2011/05/01,1063,2309,483,865,3446,3240,2145,13393,1073741824,123,1089,72,2523,2011/05/03
2011/05/09,1026,2548,499,898,3644,3341,2095,-687,1073741824,132,113,72,2373,2011/05/12
2011/05/17,1024,2698,454,918,3729,3219,1950,-3615,1073741824,141,1277,72,2287,2011/05/21
2011/05/25,954,2409,461,840,3355,3137,2112,13845,1073741824,146,2182,72,1978,2011/05/26
2011/06/02,1170,3046,615,1062,3991,3584,2316,-2861,1073741824,157,1305,72,2129,2011/06/06
2011/06/10,1016,2775,517,928,3721,3325,2055,-1080,1073741824,164,157,72,2018,2011/06/13
2011/06/18,878,2731,448,851,3545,2927,1646,14647,1073741824,171,1036,72,1934,2011/06/20
2011/06/26,1180,2898,597,1011,3944,3515,2165,-162,1073741824,180,136,72,2067,2011/06/29
2011/07/04,1295,3153,647,1095,4262,3852,2390,-2684,1073741824,189,1287,74,2243,2011/07/08
